location,median_age,aged_65_older,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index,happiness_score,Kmeans_clusters,Hr_predicted_clusters
Afghanistan,18.6,2.5810000000000004,1803.987,42.81785714285714,64.83,0.498,2.5669999999999997,0,1
Albania,38.0,13.187999999999999,11803.431,1.1,78.57,0.785,4.883,2,2
Algeria,29.1,6.211,13913.839,0.5,76.88,0.754,5.005,2,2
Andorra,30.9,8.696,44328.198822222235,0.6074074074074072,83.73,0.858,6.65964285714286,1,0
Angola,16.8,2.405,5819.495,16.845833333333335,61.15,0.581,5.051238095238095,3,3
Antigua and Barbuda,32.1,6.933,21490.943,2.3555555555555556,77.02,0.78,5.446964285714285,2,2
Argentina,31.9,11.198,18933.907,0.6,76.67,0.825,5.975,2,2
Armenia,35.7,11.232000000000001,8787.58,1.8,75.09,0.755,4.677,2,2
Australia,37.9,15.504000000000001,44648.71,0.5,83.44,0.9390000000000001,7.223,1,0
Austria,44.4,19.202,45436.685999999994,0.7,81.54,0.9079999999999999,7.294,1,0
Azerbaijan,32.4,6.018,15847.419,2.3555555555555556,73.0,0.757,5.165,2,2
Bahamas,34.3,8.996,27717.847,2.3555555555555556,73.92,0.807,5.446964285714285,2,2
Bahrain,32.4,2.372,43290.705,0.6074074074074072,77.29,0.846,6.227,2,0
Bangladesh,27.5,5.098,3523.9840000000004,14.8,72.59,0.608,4.833,3,3
Barbados,39.8,14.952,16978.068,2.3555555555555556,79.19,0.8,5.446964285714285,2,2
Belarus,40.3,14.799000000000001,17167.967,2.3555555555555556,74.79,0.8079999999999999,5.54,2,2
Belgium,41.8,18.570999999999998,42658.575999999994,0.2,81.63,0.9159999999999999,6.864,1,0
Belize,25.0,3.853,7824.361999999999,2.3555555555555556,74.62,0.708,5.446964285714285,3,2
Benin,18.8,3.2439999999999998,2064.236,49.6,61.77,0.515,5.216,0,1
Bhutan,28.6,4.885,8708.597,1.5,71.78,0.612,5.051238095238095,3,2
Bolivia,25.4,6.704,6885.829000000001,7.1,71.51,0.693,5.747000000000001,3,2
Bosnia and Herzegovina,42.5,16.569000000000003,11713.895,0.2,77.4,0.768,5.6739999999999995,2,2
Botswana,25.8,3.9410000000000003,15807.374,2.3555555555555556,69.59,0.7170000000000001,3.4789999999999996,3,3
Brazil,33.5,8.552,14103.452,3.4,75.88,0.759,6.376,2,2
Brunei,32.4,4.591,71809.25099999999,0.6074074074074072,75.86,0.853,6.65964285714286,1,0
Bulgaria,44.7,20.801,18563.307,1.5,75.05,0.813,5.102,2,0
Burkina Faso,17.6,2.4090000000000003,1703.102,43.7,61.58,0.423,4.769,0,1
Burundi,17.5,2.562,702.225,71.7,61.58,0.41700000000000004,3.775,0,1
Cambodia,25.6,4.412,3645.07,16.845833333333335,69.82,0.5820000000000001,4.848,3,3
Cameroon,18.8,3.165,3364.926,23.8,59.29,0.556,5.085,0,3
Canada,41.4,16.984,44017.59099999999,0.5,82.43,0.9259999999999999,7.232,1,0
Cape Verde,25.7,4.46,6222.554,16.845833333333335,72.98,0.654,5.051238095238095,3,3
Central African Republic,18.3,3.655,661.24,42.81785714285714,53.28,0.36700000000000005,3.4760000000000004,0,1
Chad,16.7,2.4859999999999998,1768.1529999999998,38.4,54.24,0.40399999999999997,4.423,0,1
Chile,35.4,11.087,22767.037,1.3,80.18,0.843,6.228,2,2
China,38.7,10.640999999999998,15308.712,0.7,76.91,0.752,5.124,2,2
Colombia,32.2,7.646,13254.948999999999,4.5,77.29,0.747,6.162999999999999,2,2
Comoros,20.4,2.963,1413.89,18.1,64.32,0.503,4.289,0,1
Congo,19.0,3.4019999999999997,4881.406,37.0,64.57,0.606,4.311,0,1
Costa Rica,33.6,9.468,15524.995,1.3,80.28,0.794,7.121,2,2
Cote d'Ivoire,18.7,2.9330000000000003,3601.006,28.2,57.78,0.49200000000000005,4.151666666666666,0,1
Croatia,44.0,19.724,22669.797000000002,0.7,78.49,0.831,5.505,1,0
Cuba,43.1,14.738,15728.671422535215,2.3555555555555556,78.8,0.777,5.446964285714285,2,2
Czechia,43.3,19.027,32605.906000000003,0.6074074074074072,79.38,0.888,6.9110000000000005,1,0
Democratic Republic of Congo,17.0,3.02,808.133,77.1,60.68,0.457,5.194,0,1
Denmark,42.3,19.677,46682.515,0.2,80.9,0.929,7.646,1,0
Djibouti,25.4,4.213,2705.406,22.5,67.11,0.47600000000000003,4.151666666666666,0,1
Dominica,30.9,8.696,9673.367,2.3555555555555556,75.0,0.715,5.446964285714285,2,2
Dominican Republic,27.6,6.981,14600.861,1.6,74.08,0.736,5.689,2,2
Ecuador,28.1,7.104,10581.936000000002,3.6,77.01,0.752,5.925,2,2
Egypt,25.3,5.159,10550.206,1.3,71.99,0.696,4.151,3,3
El Salvador,27.6,8.273,7292.4580000000005,2.2,73.32,0.674,6.348,2,2
Equatorial Guinea,22.4,2.846,22604.873,16.845833333333335,58.74,0.591,5.051238095238095,3,3
Eritrea,19.3,3.6069999999999998,1510.4589999999998,42.81785714285714,66.32,0.44,4.151666666666666,0,1
Estonia,42.7,19.452,29481.252,0.5,78.74,0.871,6.022,1,0
Eswatini,21.5,3.1630000000000003,7738.975,16.845833333333335,60.19,0.588,4.308,3,3
Ethiopia,19.8,3.5260000000000002,1729.9270000000001,26.7,66.6,0.46299999999999997,4.186,0,1
Fiji,28.6,6.224,8702.975,1.4,67.44,0.741,5.446964285714285,3,2
Finland,42.8,21.228,40585.721,0.6074074074074072,81.91,0.92,7.809,1,0
France,42.0,19.718,38605.671,0.6074074074074072,82.66,0.9009999999999999,6.664,1,0
Gabon,23.1,4.45,16562.413,3.4,66.47,0.7020000000000001,4.829,3,3
Gambia,17.5,2.339,1561.767,10.1,62.05,0.46,4.751,3,3
Georgia,38.7,14.864,9745.079,4.2,73.77,0.78,4.673,2,2
Germany,46.6,21.453000000000003,45229.245,0.6074074074074072,81.33,0.9359999999999999,7.0760000000000005,1,0
Ghana,21.1,3.385,4227.63,12.0,64.07,0.5920000000000001,5.148,3,3
Greece,45.3,20.396,24574.382,1.5,82.24,0.87,5.515,1,0
Grenada,29.4,7.303999999999999,13593.877,2.3555555555555556,72.4,0.772,5.446964285714285,2,2
Guatemala,22.9,4.694,7423.808000000001,8.7,74.3,0.65,6.399,3,2
Guinea,19.0,3.135,1998.9260000000002,35.3,61.6,0.45899999999999996,4.949,0,1
Guinea-Bissau,19.4,3.002,1548.675,67.1,58.32,0.455,4.151666666666666,0,1
Guyana,26.3,5.305,7435.047,16.845833333333335,69.91,0.654,5.051238095238095,3,3
Haiti,24.3,4.8,1653.1729999999998,23.5,64.0,0.498,3.721,0,1
Honduras,24.9,4.652,4541.795,16.0,75.27,0.617,5.952999999999999,3,2
